OBJECTID_1,OBJECTID,COMID,PERMANENT_,FDATE,RESOLUTION,GNIS_ID,GNIS_NAME,LENGTHKM,REACHCODE,FLOWDIR,WBAREACOMI,WBAREA_PER,FTYPE,FCODE,SHAPE_LENG,ENABLED,DESCRIPTIO,CANALDITCH,CONSTRUCTI,HYDROGRAPH,INUNDATION,OPERATIONA,PIPELINETY,POSITIONAL,RELATIONSH,RESERVOIRT,STAGE,SPECIALUSE,Shape_len
"13","13","27685768","27685768",2001/09/28,"2",,,0.26300000000,"18070105000641","1","0",,"460","46006",0.00276929255,"1",Stream/River: Hydrographic Category = Perennial,,,Perennial,,,,,,,,,868.02942688100
"108","108","132734143","132734143",2005/03/09,"2",,,1.11100000000,"18070104000256","1","0",,"460","46003",0.01047933286,"1",Stream/River: Hydrographic Category = Intermittent,,,Intermittent,,,,,,,,,3630.04985546000
"109","109","132734308","132734308",2005/03/09,"2",,,0.72200000000,"18070104000344","1","0",,"460","46003",0.00741462450,"1",Stream/River: Hydrographic Category = Intermittent,,,Intermittent,,,,,,,,,2375.56663969000
"110","110","132734368","132734368",2005/03/09,"2",,,2.55500000000,"18070104000382","1","0",,"460","46003",0.02431338210,"1",Stream/River: Hydrographic Category = Intermittent,,,Intermittent,,,,,,,,,8353.68462335000
"111","111","132734734","132734734",2005/03/09,"2",,,1.66000000000,"18070104000851","1","0",,"460","46003",0.01659782028,"1",Stream/River: Hydrographic Category = Intermittent,,,Intermittent,,,,,,,,,5449.00802282000
"112","112","132734812","132734812",2005/03/09,"2",,,0.18300000000,"18070104000927","1","0",,"460","46003",0.00164756156,"1",Stream/River: Hydrographic Category = Intermittent,,,Intermittent,,,,,,,,,594.71315923900
"115","115","132735186","132735186",2005/03/09,"2",,,1.03000000000,"18070104000058","1","0",,"566","56600",0.01117276221,"1",Coastline,,,,,,,,,,,,3402.43189170000
"122","122","27685472","27685472",2001/09/28,"2",,,1.26700000000,"18070105000916","1","0",,"460","46003",0.01296641407,"1",Stream/River: Hydrographic Category = Intermittent,,,Intermittent,,,,,,,,,4166.44017725000
"123","123","27685838","27685838",2001/09/28,"2",,,0.70200000000,"18070105000955","1","0",,"460","46003",0.00741467522,"1",Stream/River: Hydrographic Category = Intermittent,,,Intermittent,,,,,,,,,2315.30008368000
"124","124","27685896","27685896",2001/09/28,"2",,,0.05700000000,"18070105000590","1","0",,"460","46003",0.00054958643,"1",Stream/River: Hydrographic Category = Intermittent,,,Intermittent,,,,,,,,,187.50896424100
