OBJECTID,AspenRank,ACRES,Comment,Shape_STAr,Shape_STLe
"3933",S1,0.2271595,Critical Habitat,9895.02832031000,605.49977016400
"3934",S1,2.0010073,Critical Habitat,87163.53027340000,1557.11378483000
"3935",S1,4.0167918,Critical Habitat,174973.85937500000,1940.17336251000
"3936",S1,8.1952607,Critical Habitat,356989.57324200001,2358.18541097000
"3937",S1,99.4677269,Critical Habitat,4332829.01171999983,12182.93480360000
"3938",S1,9.9863301,Critical Habitat,435018.71386700001,2793.61172339000
"3939",S1,0.1367242,Critical Habitat,5955.68066406000,578.42722605700
"3940",S1,5.8883958,Critical Habitat,256509.46972699999,2124.86290653000
"3941",S1,35.1731413,Critical Habitat,1532135.90430000005,5290.61400213000
"3942",S1,15.3658366,Critical Habitat,669350.95410199999,3443.37384409000
"3943",S1,20.3026483,Critical Habitat,884388.25585900003,5880.07161678000
"3944",S1,49.3141816,Critical Habitat,2148137.85155999986,6330.69905027000
"3945",S1,0.1621619,Critical Habitat,7064.74414063000,615.55606573400
"3946",S1,54.9175969,Critical Habitat,2392200.95116999978,6521.23721428000
"3947",S1,51.7457751,Critical Habitat,2254058.05859000003,9146.15302250000
"3948",S1,132.4361418,Critical Habitat,5768959.08397999965,13364.17415280000
"3949",S1,45.6927338,Critical Habitat,1990367.51952999993,6825.28058553000
"3950",S1,12.5313226,Critical Habitat,545871.11035199999,3436.18179645000
"3951",S1,71.4478750,Critical Habitat,3112266.64062999981,7248.94365287000
"3952",S1,65.3335888,Critical Habitat,2845944.77441000007,9824.72736988000
"3953",S1,1.7143189,Critical Habitat and Stream Proximity,74675.43261720000,1111.17093688000
"3954",S1,4.6889257,Critical Habitat and Stream Proximity,204226.69628900001,2398.88509713000
"3955",S1,1.0682841,Critical Habitat and Stream Proximity,46524.20410160000,845.08676650400
"3956",S1,16.0910865,Critical Habitat and Stream Proximity,700900.44921899994,9090.25090856000
"3957",S1,3.6770979,Critical Habitat and Stream Proximity,160165.31054700000,1959.72714411000
"3958",S1,10.4230396,Critical Habitat and Stream Proximity,453977.07226599997,5022.32728786000
"3959",S1,0.0099618,Critical Habitat and Stream Proximity,433.93261718800,98.33533198470
"3960",S1,4.5364953,Critical Habitat and Stream Proximity,197596.42480499999,2499.37975413000
"3961",S1,14.9161382,Critical Habitat and Stream Proximity,649669.24902300001,7141.77205751000
"3962",S1,7.1372474,Critical Habitat and Stream Proximity,310881.65918000002,3488.08719390000
"3963",S1,1.6430263,Critical Habitat and Stream Proximity,71569.94140630000,1217.26941753000
"3964",S1,6.9947324,Critical Habitat and Stream Proximity,304661.35156300000,3614.58353206000
"3965",S1,25.8780991,Stream Proximity,1127168.78612999991,11632.03056270000
"3966",S1,18.7588042,Stream Proximity,817088.29785199999,8576.75484506000
"3967",S1,0.7178527,Stream Proximity,31269.54003910000,669.93090820700
"3968",S1,16.5075132,Stream Proximity,718988.37695299997,7557.09242997000
"3969",S1,8.9544451,Stream Proximity,390029.19433600002,4214.33622323000
"3970",S1,1.6817603,Stream Proximity,73257.18164060000,1046.93697452000
"3971",S1,3.7933103,Stream Proximity,165231.53027300001,2054.63554916000
"3972",S1,0.0241592,Stream Proximity,1042.35546875000,299.02254306300
"3973",S1,13.8317799,Stream Proximity,602472.25585900003,6494.05902169000
"3974",S1,3.2640097,Stream Proximity,142179.69140600000,1841.26549876000
"3975",S1,15.8213516,Stream Proximity,689124.04101599997,9183.53574907000
"3976",S1,6.1584962,Stream Proximity,268253.74902300001,3010.90041949000
"3977",S1,4.3153819,Stream Proximity,187966.38183599999,2239.33634752000
"3978",S1,9.1981336,Stream Proximity,400640.83300799999,4402.98350632000
"3979",S1,10.3304377,Stream Proximity,449959.40136700001,4872.68011681000
"3980",S1,16.2698780,Stream Proximity,708648.11621100002,7469.43353504000
"3981",S1,9.0484855,Stream Proximity,394122.67480500002,4251.79771465000
"3982",S1,1.1986134,Stream Proximity,52208.83300780000,927.35092764200
"3983",S1,0.0050413,Stream Proximity,219.59667968800,103.29761432900
"3984",S1,0.0000487,Stream Proximity,2.12207031250,22.97894146640
"3985",S1,0.0000422,Stream Proximity,1.83789062500,23.14314286640
"3986",S1,27.0991248,Stream Proximity,1180352.00976999989,11961.04857150000
"3987",S1,4.1175485,Stream Proximity,179359.69433599999,2159.21763051000
"3988",S1,10.1894763,Stream Proximity,443830.56738299999,4863.66364782000
"3989",S1,75.1235293,Stream Proximity,3272166.42285000021,32930.69061000000
"3990",S1,73.8844195,Stream Proximity,3218177.32323999982,32084.31206690000
"3991",S1,14.3274477,Stream Proximity,624058.43750000000,6608.12649417000
"3992",S1,12.0312881,Stream Proximity,524023.07226599997,5556.51709625000
"3993",S1,111.6316209,Stream Proximity,4862324.77831999958,48514.59029260000
"3994",S1,0.3695498,Stream Proximity,16097.52539060000,520.32567163100
"3995",S1,20.7376096,Stream Proximity,903262.17871100002,9394.49290362000
"3996",S1,18.9583380,Stream Proximity,825761.15722699999,9020.89445447000
"3997",S1,56.2616761,Stream Proximity,2450586.48437999981,24740.28969120000
"3998",S1,4.6713570,Stream Proximity,203471.01660199999,2416.62058249000
"3999",S1,3.2616532,Stream Proximity,142064.33496099999,1815.09026659000
"4000",S1,112.0962890,Stream Proximity,4882529.97754000034,48745.74129200000
"4001",S1,30.7206590,Stream Proximity,1338072.49218999990,13735.16722910000
"4002",S1,83.8129900,Stream Proximity,3650579.38573999982,36766.32627190000
"4003",S1,0.6027415,Stream Proximity,26255.31835940000,621.53692704400
"4004",S1,14.0324597,Stream Proximity,611210.01562500000,6908.58424635000
"4005",S1,2.8565612,Stream Proximity,124417.64355500000,1601.90164915000
"4006",S1,1.1059688,Stream Proximity,48170.78710940000,1040.26691542000
"4007",S1,7.2484388,Stream Proximity,315724.02148400003,3588.30336173000
"4008",S1,18.8703272,Stream Proximity,821909.41406300000,8520.97198585000
"4009",S1,4.0281914,Stream Proximity,175463.87695300000,2208.66401344000
"4010",S1,92.4151921,Stream Proximity,4025323.08594000014,40332.07614510000
"4011",S1,285.3589438,Stream Proximity,12429306.20020000078,124176.17862599999
"4012",S1,17.8671994,Stream Proximity,778264.34667999996,8483.49653306000
"4013",S1,19.9410334,Stream Proximity,868560.32519500004,8988.72873219000
"4014",S1,0.2606661,Stream Proximity,11354.56542970000,426.17073819900
"4015",S1,221.8457146,Stream Proximity,9662984.64159999974,96634.98548480000
"4016",S1,146.0096645,Stream Proximity,6359712.27245999966,63772.72457900000
"4017",S1,2.4316144,Stream Proximity,105915.86816400000,1416.24125213000
"4018",S1,0.0078873,Stream Proximity,343.56738281300,100.05121253500
"4019",S1,0.1311150,Stream Proximity,5711.34765625000,347.54055411000
"4020",S1,2.4401516,Stream Proximity,106288.78906300000,1444.88704091000
"4021",S1,7.7164017,Stream Proximity,336111.30078100000,3842.30509975000
"4022",S1,10.9904605,Stream Proximity,478720.27831999998,5156.75466209000
"4023",S1,21.9178325,Stream Proximity,954649.73535199999,9899.44481332000
"4024",S1,4.2093520,Stream Proximity,183352.95898400000,2190.29628000000
"4025",S1,9.4624127,Stream Proximity,412152.93456999998,4608.03023128000
"4026",S1,4.0302198,Stream Proximity,175547.13964800001,2160.96504240000
"4027",S1,6.5833059,Stream Proximity,286758.52148400003,3281.09965952000
"4028",S1,10.0578371,Stream Proximity,438099.71581999998,4780.29234282000
"4029",S1,16.0872815,Stream Proximity,700722.00292999996,7876.37220537000
"4030",S1,25.2802007,Stream Proximity,1101163.26270000008,11324.82144500000
"4031",S1,66.5913078,Stream Proximity,2900484.64746000012,28982.65468190000
"4032",S1,26.1386232,Stream Proximity,1138532.48729999992,12080.14317250000
"4033",S1,0.9277250,Vegetation,40411.54394530000,2009.37888384000
"4034",S1,8.6901990,Vegetation,378547.36425799999,4124.72017487000
"4035",S1,1.5130565,Vegetation,65908.47753910000,1530.15413067000
"4036",S1,0.0000479,Vegetation,2.08789062500,10.11387315120
"4037",S1,0.0100803,Vegetation,439.09570312500,120.78819580400
"4038",S1,0.1378026,Vegetation,6002.65820313000,370.13403075100
"4039",S1,1.0243290,Vegetation,44619.59277340000,1001.20709563000
"4040",S1,15.2135285,Vegetation,662707.84375000000,8281.34040640000
"4041",S1,4.3366999,Vegetation,188908.33105499999,2589.96558534000
"4042",S1,2.3793374,Vegetation,103644.96191400000,1708.95420377000
"4043",S1,0.0279560,Vegetation,1217.76074219000,282.11491281700
"4044",S1,0.0613728,Vegetation,2676.07910156000,284.01724370100
"4045",S1,0.6780194,Vegetation,29539.40820310000,1142.08770653000
"4046",S1,0.0415758,Vegetation,1811.03125000000,304.18496839800
"4047",S1,3.3460933,Vegetation,145755.24804700000,2725.33433379000
"4048",S1,0.0091528,Vegetation,398.69433593800,100.46696148400
"4049",S1,0.4316486,Vegetation,18804.09667970000,560.31826782300
"4050",S1,0.7871008,Vegetation,34285.97167970000,974.97096003400
"4051",S1,0.3161122,Vegetation,13769.79589840000,459.97185485300
"4052",S1,0.0009358,Vegetation,40.76562500000,57.68164537810
"4053",S1,2.4921836,Vegetation,108561.52246100000,1666.65036731000
"4054",S1,0.0003661,Vegetation,15.94726562500,29.49867381040
"4055",S1,1.0942580,Vegetation,47665.68652340000,1542.80640746000
"4056",S1,0.2482088,Vegetation,10817.92968750000,728.33460541800
"4057",S1,0.0000728,Vegetation,3.17285156250,25.05048654090
"4058",S1,0.4227590,Vegetation,18415.30664060000,639.86395348000
"4059",S1,0.1955632,Vegetation,8518.69921875000,465.21084350900
"4060",S1,0.0071882,Vegetation,313.11621093800,127.65488034400
"4061",S1,12.8456817,Vegetation,559560.34375000000,7330.93263655000
"4062",S1,0.0000486,Vegetation,2.11621093750,12.97242244510
"4063",S1,0.5223309,Vegetation,22752.64550780000,707.95514586600
"4064",S1,0.0202082,Vegetation,880.26660156300,146.04127879600
"4065",S1,0.0026836,Vegetation,116.89941406300,88.46651900100
"4066",S1,0.0000225,Vegetation,0.98046875000,5.48880730034
"4067",S1,3.0761558,Vegetation,133996.81054700000,2390.45250691000
"4068",S1,0.0818963,Vegetation,3568.90722656000,306.61594562100
"4069",S1,0.0313437,Vegetation,1365.32519531000,226.21545116400
"4070",S1,2.6706756,Vegetation,116334.16503900000,2615.30934710000
"4071",S1,0.5629860,Vegetation,24526.98046880000,832.33886885300
"4072",S1,0.2232537,Vegetation,9724.88867188000,483.35225949000
"4073",S1,0.1642133,Vegetation,7155.89746094000,420.11743308500
"4074",S1,0.1361772,Vegetation,5931.85449219000,326.51374173700
"4075",S1,0.0922447,Vegetation,4018.16406250000,257.51517077200
"4076",S1,1.7349928,Vegetation,75575.98437500000,1477.47460733000
"4077",S1,0.3772739,Vegetation,16433.98437500000,568.99956670300
"4078",S1,0.5554441,Vegetation,24195.04980470000,889.50384192600
"4079",S1,0.2372748,Vegetation,10342.25000000000,546.01330407400
"4080",S1,0.0370405,Vegetation,1613.47851563000,231.75476617500
"4081",S1,0.0062758,Vegetation,273.37207031300,110.51264872300
"4082",S1,0.0102794,Vegetation,447.76953125000,134.53758631900
"4083",S1,1.6456351,Vegetation,71683.57910160000,1273.95762305000
"4084",S1,2.0714011,Vegetation,90234.38574220000,1670.16113971000
"4085",S1,0.2182429,Vegetation,9506.62109375000,471.67715983700
"4086",S1,0.3588200,Vegetation,15630.13671880000,534.26212001500
"4087",S1,0.0106380,Vegetation,463.38867187500,119.40163485500
"4088",S1,0.1744248,Vegetation,7600.29101563000,350.76878189900
"4089",S1,0.0245611,Vegetation,1069.87695313000,195.61489911900
"4090",S1,19.1062533,Vegetation,832267.85937500000,11664.82398820000
"4091",S1,0.5680987,Vegetation,24746.27539060000,771.13626565800
"4092",S1,0.0095648,Vegetation,416.64062500000,113.03900961900
"4093",S1,0.6461399,Vegetation,28145.73925780000,773.69774967700
"4094",S1,0.0151138,Vegetation,658.35449218800,134.63449031200
"4095",S1,13.7148976,Vegetation,597418.55761699995,8619.10197096000
"4096",S1,0.6479900,Vegetation,28229.13281250000,804.81089925500
"4097",S1,2.4152091,Vegetation,105212.84277300000,2561.33056929000
